"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"Alabama","Baldwin",2018,270,245,25,0,0,0,0,97,50,35,0,0,214,0,56,0
"Alabama","Clay",2018,110,103,7,0,0,0,0,64,45,27,0,0,0,0,110,0
"Alabama","Colbert",2018,277,251,26,0,0,0,0,93,50,35,0,0,209,0,68,0
"Alabama","DeKalb",2018,350,316,34,0,0,0,0,84,50,35,0,0,317,0,33,0
"Alabama","Elmore",2018,222,203,19,0,0,0,0,71,49,33,0,0,222,0,0,0
"Alabama","Etowah",2018,324,231,92,0,1,0,0,153,61,41,0,0,179,0,145,0
"Alabama","Houston",2018,277,249,28,0,0,0,0,80,51,35,0,0,211,0,66,0
"Alabama","Jefferson",2018,365,175,184,5,1,0,0,156,74,51,0,1,106,32,223,3
"Alabama","Lawrence",2018,80,75,5,0,0,0,0,61,48,25,0,0,0,0,80,0
"Alabama","Madison",2018,365,275,89,1,0,0,0,115,58,41,0,0,130,0,234,1
"Alabama","Mobile",2018,365,290,74,1,0,0,0,105,57,38,0,0,150,13,202,0
"Alabama","Montgomery",2018,324,149,175,0,0,0,0,93,66,52,0,0,43,0,281,0
"Alabama","Morgan",2018,364,304,60,0,0,0,0,100,54,37,0,0,176,0,188,0
"Alabama","Russell",2018,364,277,87,0,0,0,0,99,61,39,0,0,114,0,250,0
"Alabama","Shelby",2018,363,328,31,4,0,0,0,124,50,31,0,0,232,131,0,0
"Alabama","Sumter",2018,365,344,21,0,0,0,0,77,47,29,0,0,222,13,130,0
"Alabama","Tuscaloosa",2018,320,265,54,1,0,0,0,115,56,37,0,0,195,0,125,0
"Alaska","Aleutians East ",2018,81,81,0,0,0,0,0,34,20,10,0,0,0,0,81,0
"Alaska","Anchorage ",2018,365,308,57,0,0,0,0,87,57,24,2,0,0,0,259,104
"Alaska","Bethel ",2018,188,184,4,0,0,0,0,77,31,6,0,0,0,0,0,188
"Alaska","Denali ",2018,363,360,3,0,0,0,0,58,44,35,0,0,363,0,0,0
"Alaska","Fairbanks North Star ",2018,365,258,77,25,5,0,0,155,96,34,0,35,114,5,206,5
"Alaska","Juneau ",2018,352,306,46,0,0,0,0,83,54,23,0,0,0,0,348,4
"Alaska","Kenai Peninsula ",2018,81,81,0,0,0,0,0,27,17,8,0,0,0,0,81,0
"Alaska","Matanuska-Susitna ",2018,365,325,36,3,1,0,0,151,53,27,0,0,221,0,122,22
"Arizona","Apache",2018,358,354,4,0,0,0,0,55,26,12,0,0,0,0,30,328
"Arizona","Cochise",2018,365,276,89,0,0,0,0,90,63,44,0,0,313,0,18,34
"Arizona","Coconino",2018,365,243,119,3,0,0,0,126,77,45,0,0,363,0,2,0
"Arizona","Gila",2018,365,107,170,80,8,0,0,184,117,71,0,0,161,188,0,16
"Arizona","La Paz",2018,364,263,98,3,0,0,0,105,70,44,0,0,351,0,7,6
"Arizona","Maricopa",2018,365,54,247,57,4,3,0,249,115,71,0,15,184,0,61,105
"Arizona","Mohave",2018,363,350,12,1,0,0,0,105,33,18,0,0,0,0,18,345
"Arizona","Navajo",2018,363,261,100,2,0,0,0,115,74,44,0,0,353,0,2,8
"Arizona","Pima",2018,365,196,158,11,0,0,0,129,84,49,0,0,255,0,31,79
"Arizona","Pinal",2018,365,85,229,34,6,3,8,996,108,67,0,0,131,0,23,211
"Arizona","Santa Cruz",2018,365,294,69,1,1,0,0,183,59,31,0,0,0,0,215,150
"Arizona","Yavapai",2018,365,292,72,1,0,0,0,101,61,43,0,0,363,0,2,0
"Arizona","Yuma",2018,365,239,110,15,1,0,0,169,80,45,0,0,235,0,33,97
"Arkansas","Arkansas",2018,118,98,20,0,0,0,0,90,54,33,0,0,0,0,118,0
"Arkansas","Ashley",2018,121,106,14,1,0,0,0,103,52,29,0,0,0,0,121,0
"Arkansas","Clark",2018,361,342,19,0,0,0,0,87,46,31,0,0,361,0,0,0
"Arkansas","Craighead",2018,90,71,19,0,0,0,0,72,56,35,0,0,0,0,90,0
"Arkansas","Crittenden",2018,365,288,74,3,0,0,0,115,60,40,0,7,187,0,171,0
"Arkansas","Garland",2018,121,99,22,0,0,0,0,86,54,31,0,0,0,0,121,0
"Arkansas","Jackson",2018,122,107,15,0,0,0,0,71,53,31,0,0,0,0,122,0
"Arkansas","Newton",2018,364,337,27,0,0,0,0,84,48,35,0,0,354,0,10,0
"Arkansas","Polk",2018,363,319,44,0,0,0,0,93,54,38,0,0,311,0,52,0
"Arkansas","Pulaski",2018,365,257,106,2,0,0,0,122,64,43,0,1,146,0,218,0
"Arkansas","Union",2018,365,276,86,3,0,0,0,122,59,37,0,0,0,0,365,0
"Arkansas","Washington",2018,365,266,99,0,0,0,0,87,64,42,0,0,216,0,149,0
"California","Alameda",2018,365,175,173,5,10,2,0,223,76,51,0,10,72,0,283,0
"California","Amador",2018,364,288,70,6,0,0,0,129,71,40,0,0,364,0,0,0
"California","Butte",2018,365,152,173,22,11,3,4,445,104,54,0,0,203,0,161,1
"California","Calaveras",2018,364,148,196,14,6,0,0,157,87,53,0,0,141,0,223,0
"California","Colusa",2018,365,245,92,10,17,1,0,274,81,42,0,0,176,0,155,34
"California","Contra Costa",2018,365,203,144,7,9,2,0,245,71,48,0,1,107,1,256,0
"California","Del Norte",2018,146,130,16,0,0,0,0,77,52,26,0,0,0,0,146,0
"California","El Dorado",2018,365,222,106,27,9,1,0,203,101,45,0,0,353,0,3,9
"California","Fresno",2018,365,84,183,79,19,0,0,185,133,74,0,3,231,0,121,10
"California","Glenn",2018,363,275,72,9,6,1,0,230,69,36,0,0,154,0,136,73
"California","Humboldt",2018,365,324,35,5,1,0,0,163,53,34,0,2,251,0,94,18
"California","Imperial",2018,365,95,221,40,7,2,0,286,108,62,0,7,129,0,100,129
"California","Inyo",2018,365,198,130,26,8,2,1,624,101,48,0,0,311,0,20,34
"California","Kern",2018,365,65,170,103,27,0,0,190,142,84,0,0,246,0,106,13
